"opendata_name","better_name"
"Hyundai - Kremlin-Bicêtre - ELLIPSE Automobiles","Hyundai"
"Hyundai - Montargis - ELLIPSE Automobiles","Hyundai"
"Hyundai - MV automobiles  Dieppe","Hyundai"
"Hyundai Agen - Manfé","Hyundai"
"Hyundai Albertville - Jean Lain Automobiles","Hyundai"
"Hyundai Angers - Oceane Automobiles","Hyundai"
"Hyundai Annemasse - Jean Lain Automobiles","Hyundai"
"HYUNDAI ARRAS - AUTOLEADER","Hyundai"
"Hyundai Aubenas - Gounon Automobiles","Hyundai"
"Hyundai Auch - Auch Automobile","Hyundai"
"Hyundai Bastia - Corse Diffusion Hyundai","Hyundai"
"Hyundai Brest - Iroise Automobiles","Hyundai"
"Hyundai Brignoles - Thaon & Fils","Hyundai"
"Hyundai Brive-la-Gaillarde - Garage Pouget","Hyundai"
"Hyundai Bruay-La-Buissière - Groupe Lempereur","Hyundai"
"Hyundai Chalon-sur-Saône - Groupe Guillet","Hyundai"
"Hyundai Chaumont - Garage Michel Bazin","Hyundai"
"Hyundai Fontainebleau - BR Motors","Hyundai"
"Hyundai GCA Avranches","Hyundai"
"Hyundai Laval - GCA","Hyundai"
"Hyundai Le Havre - Imporauto","Hyundai"
"Hyundai Le Pontet","Hyundai"
"Hyundai Lille Lomme - Valauto","Hyundai"
"Hyundai Lille Villeneuve-d'Ascq - V2 Automobiles","Hyundai"
"Hyundai Lorient - Auto Océane","Hyundai"
"Hyundai Manosque - Pedinielli","Hyundai"
"Hyundai Marseille - Autodif SAS - Groupe BALDASSARI","Hyundai"
"Hyundai Melun - BR Motors","Hyundai"
"Hyundai Metz - Theobald Automobiles","Hyundai"
"HYUNDAI MONTAUBAN","Hyundai"
"Hyundai Montceau-les-Mines - Zénith Motors","Hyundai"
"HYUNDAI Nancy - Théobald Automobiles","Hyundai"
"Hyundai Nantes - Pacific cars","Hyundai"
"Hyundai Neufchâteau - Garage de l'étoile","Hyundai"
"Hyundai Niort - West Auto Motors","Hyundai"
"Hyundai Pertuis - Pedinielli","Hyundai"
"Hyundai Quimper - Iroise Automobiles","Hyundai"
"Hyundai Rodez - Moutiers Automobiles","Hyundai"
"Hyundai Saint-Gaudens - Innovation Automobiles","Hyundai"
"Hyundai Saint-Lô - GCA","Hyundai"
"Hyundai Saint-Malo - GCA","Hyundai"
"Hyundai Saint-Omer - CAREXEL","Hyundai"
"Hyundai Sarreguemines - Théobald Automobiles","Hyundai"
"Hyundai Strasbourg - HESS Automobile","Hyundai"
"HYUNDAI Thionville - Théobald Automobiles","Hyundai"
"Hyundai Toulon - Autodif SAS - Groupe BALDASSARI","Hyundai"
"Hyundai Valence - Valence Motors","Hyundai"
"Hyundai Valenciennes - ADNH","Hyundai"
"Hyundai Vannes - Park Lann Automobiles","Hyundai"
"Hyundai Vichy - Euromab","Hyundai"
"Ibis Styles Lille A&eacute;roport","Ibis Styles"
"INDIGO FRANCE","Indigo France"
"IZIVIA","Izivia"
"IZIVIA - MAMP","Izivia"
"IZIVIA EXPRESS","Izivia Express"
"IZIVIA METROPOLES","Izivia Métropoles"
"Kia - MOTORS 76 Dieppe","Kia"
"KIA - Nîmes","Kia"
"KYRIAD DIRECT DIJON SUD","Kyriad"
"KYRIAD DIRECT NEVERS NORD - Varennes Vauzelles","Kyriad"
"LECLERC","E. Leclerc"
"Leclerc Biars","E. Leclerc"
"Leclerc Mimizan","E. Leclerc"
"Leclerc Mios","E. Leclerc"
"LIDL France","Lidl France"
"LITTORAL AUTOMOBILES - BMW","BMW"
"MINI BYmyCAR 77","MINI"
"MINI Panel Auxerre","MINI"
"MINI Panel Melun","MINI"
"MINI STORE TOURS Amplitude Automobiles","MINI"
"MOBIVE - FDEE 19","MobiVE"
"MOBIVE - SDE 24","MobiVE"
"MOBIVE - SDEEG 33","MobiVE"
"MOBIVE - SDEER 17","MobiVE"
"MOBIVE - SDEG 16","MobiVE"
"MOBIVE - SDEPA 64","MobiVE"
"MOBIVE - SEHV87","MobiVE"
"MOBIVE - SYDEC 40","MobiVE"
"MOBIVE - TE 47","MobiVE"
"Mobilygreen CPO","Mobilygreen"
"Mobilygreen | FR*MW1","Mobilygreen"
"Montpellier Mediterranee Metropole","Montpellier Méditerranée Métropole"
"NW IECharge","IECharge"
"OUEST CHARGE - 29","Ouest Charge"
"OUEST CHARGE - 35","Ouest Charge"
"Ouest Concept Automobiles - BMW Morlaix","BMW"
"OuestBmw22950*1","BMW"
"PANEL FONTAINEBLEAU Mini","MINI"
"Parking de la Poste - Parcheghju &agrave; a Posta",
"Parking marin - Parcheghju marinu",
"pass pass électrique","Pass pass électrique"
"PLAGECO DISTRIBUTION","Plageco Distribution"
"RENAULT","Renault"
"RENAULT - Autobernard - BESANCON","Renault"
"RENAULT AVON","Renault"
"RENAULT DPL AUTOMOBILES","Renault"
"RENAULT GIRARDIN","Renault"
"RENAULT SAVY","Renault"
"Réseau eborn","eborn"
"RT78","Rambouillet Territoires"
"SIEML","Siéml"
"SIGEIF","Sigeif"
"SIXT","Sixt"
"Sixt location de voitures","Sixt"
"SOC D'IMPORTATION LECLERC (SIPLEC)","Soc d’Importation Leclerc"
"SOREGIES","Sorégies"
"Soregies","Sorégies"
"SPBR1 | FR*EBN","eborn"
"SPIE CITYNETWORKS","SPIE CityNetworks"
"SUPER U CARQUEFOU","Super U"
"Syndicat Départemental Énergie Aube (SDEA) | FR*S10","Syndicat Départemental Énergie Aube"
"Syndicat Départemental Énergie Aube (SDEA)","Syndicat Départemental Énergie Aube"
"Syndicat mixte d'Électricité du Doubs (SYDED) | FR*S25","Syndicat mixte d'Électricité du Doubs"
"Syndicat mixte d'Électricité du Doubs (SYDED)","Syndicat mixte d'Électricité du Doubs"
"TEM53","Territoire d'Énergie Mayenne"
"TESLA","Tesla"
"TESLA France","Tesla France"
"TESLA France SARL","Tesla France"
"TESLA SUPERCHARGER","Tesla Supercharger"
"total énergie","TotalEnergies"
"Total marketing france","TotalEnergies"
"TOTALENERGIES","TotalEnergies"
"TotalEnergies Charging Services","TotalEnergies"
"TotalEnergies Marketing France","TotalEnergies"
"Toulouse Metropole","Toulouse Métropole"
"TOYOTA","Toyota"
"UNIBAIL","Unibail"
"VOLVO","Volvo"
"VOLVO Belfort - Everline SAS","Volvo"
"VOLVO Besançon - Everline SAS","Volvo"
"VOLVO Colmar - Everline SAS","Volvo"
"VOLVO Épinal - Everline SAS","Volvo"
"WAAT Tertiaire","Waat"
"WAAT Umbrella-Copro","Waat"
"WAAT SAS | FR*WA2","Waat"
"WAAT SAS | FR*WA3","Waat"
"WAAT SAS | FR*WA4","Waat"
"WAAT SAS | FR*WA5","Waat"
"WAAT sas","Waat"
"WIIIZ","WiiiZ"
"ZENPARK","Zenpark"
"Zephyre | FR*ZP1","Zephyre"
"Zunder | ES*ZUN","Zunder"
"help@electra.com","help@go-electra.com"
"Mo-Su 00:00-24:00","24/7"
"Su,Mo,We,Fr,Tu,Sa,Th  00:00-23:59","24/7"
"Fr,Sa,Su,Tu,We,Th,Mo  00:00-23:59","24/7"
"tel:+352-25-36-36-404","+33 1 70 48 46 00"
"tel:+33-1-23-45-67-89",""
